Geneid,ensembl_gene_id,hgnc_symbol
ENSG00000171385.9,ENSG00000171385,KCND3
ENSG00000171492.14,ENSG00000171492,LRRC8D
ENSG00000171790.15,ENSG00000171790,SLFNL1
ENSG00000172410.4,ENSG00000172410,INSL5
ENSG00000172746.6,ENSG00000172746,RPL12P13
ENSG00000173171.14,ENSG00000173171,MTX1
ENSG00000173212.4,ENSG00000173212,MAB21L3
ENSG00000173285.4,ENSG00000173285,OR10K1
ENSG00000173406.15,ENSG00000173406,DAB1
ENSG00000173641.17,ENSG00000173641,HSPB7
ENSG00000173810.9,ENSG00000173810,PPIAP7
ENSG00000174332.5,ENSG00000174332,GLIS1
ENSG00000174529.7,ENSG00000174529,TMEM81
ENSG00000174876.16,ENSG00000174876,AMY1B
ENSG00000175206.10,ENSG00000175206,NPPA
ENSG00000175262.14,ENSG00000175262,C1orf127
ENSG00000175658.4,ENSG00000175658,DRD5P2
ENSG00000175756.13,ENSG00000175756,AURKAIP1
ENSG00000176092.15,ENSG00000176092,CRYBG2
ENSG00000176256.10,ENSG00000176256,HMGB4
ENSG00000176261.15,ENSG00000176261,ZBTB8OS
ENSG00000176320.2,ENSG00000176320,
ENSG00000176378.8,ENSG00000176378,PFN1P10
ENSG00000176855.11,ENSG00000176855,KRT18P28
ENSG00000177144.7,ENSG00000177144,NUDT4B
ENSG00000177173.5,ENSG00000177173,NAP1L4P1
ENSG00000177414.13,ENSG00000177414,UBE2U
ENSG00000177452.7,ENSG00000177452,
ENSG00000177551.5,ENSG00000177551,NHLH2
ENSG00000177553.6,ENSG00000177553,C1orf167-AS1
ENSG00000177757.2,ENSG00000177757,FAM87B
ENSG00000177770.11,ENSG00000177770,CDKN2AIPNLP1
ENSG00000177800.2,ENSG00000177800,TMEM78
ENSG00000178104.19,ENSG00000178104,PDE4DIP
ENSG00000178596.10,ENSG00000178596,GAPDHP29
ENSG00000178715.8,ENSG00000178715,
ENSG00000178922.16,ENSG00000178922,HYI
ENSG00000179002.5,ENSG00000179002,TAS1R2
ENSG00000179023.8,ENSG00000179023,KLHDC7A
ENSG00000179452.2,ENSG00000179452,LINC01699
ENSG00000179546.4,ENSG00000179546,HTR1D
ENSG00000179571.10,ENSG00000179571,NBPF17P
ENSG00000179639.10,ENSG00000179639,FCER1A
ENSG00000179743.4,ENSG00000179743,
ENSG00000179840.5,ENSG00000179840,PIK3CD-AS1
ENSG00000180098.9,ENSG00000180098,TRNAU1AP
ENSG00000180198.16,ENSG00000180198,RCC1
ENSG00000180409.3,ENSG00000180409,OR10AA1P
ENSG00000180433.5,ENSG00000180433,OR6K6
ENSG00000180437.5,ENSG00000180437,OR6K4P
ENSG00000180488.15,ENSG00000180488,MIGA1
ENSG00000180667.10,ENSG00000180667,YOD1
ENSG00000180708.5,ENSG00000180708,OR10K2
ENSG00000180867.11,ENSG00000180867,PDIA3P1
ENSG00000180869.4,ENSG00000180869,LINC01555
ENSG00000181101.7,ENSG00000181101,ENTR1P2
ENSG00000181201.3,ENSG00000181201,H2BU2P
ENSG00000181218.5,ENSG00000181218,H2AW
ENSG00000181227.3,ENSG00000181227,DLSTP1
ENSG00000182330.10,ENSG00000182330,PRAMEF8
ENSG00000182873.5,ENSG00000182873,PRKCZ-AS1
ENSG00000183298.5,ENSG00000183298,RPSAP19
ENSG00000183586.8,ENSG00000183586,HMGN3P1
ENSG00000183814.15,ENSG00000183814,LIN9
ENSG00000183888.4,ENSG00000183888,SRARP
ENSG00000183929.7,ENSG00000183929,DUSP5P1
ENSG00000184155.8,ENSG00000184155,OR10J5
ENSG00000184163.3,ENSG00000184163,C1QTNF12
ENSG00000184389.9,ENSG00000184389,A3GALT2
ENSG00000184599.13,ENSG00000184599,TAFA3
ENSG00000184678.10,ENSG00000184678,H2BC21
ENSG00000184774.10,ENSG00000184774,MGAT4EP
ENSG00000185031.6,ENSG00000185031,SLC2A3P2
ENSG00000185090.14,ENSG00000185090,MANEAL
ENSG00000185221.6,ENSG00000185221,GAPDHP24
ENSG00000185278.15,ENSG00000185278,ZBTB37
ENSG00000185495.10,ENSG00000185495,
ENSG00000185499.16,ENSG00000185499,MUC1
ENSG00000185523.6,ENSG00000185523,SPATA45
ENSG00000185839.3,ENSG00000185839,
ENSG00000185842.15,ENSG00000185842,DNAH14
ENSG00000185860.13,ENSG00000185860,CCDC190
ENSG00000185888.5,ENSG00000185888,PRSS38
ENSG00000185962.1,ENSG00000185962,LCE3A
ENSG00000186056.10,ENSG00000186056,MATN1-AS1
ENSG00000186086.18,ENSG00000186086,NBPF6
ENSG00000186092.6,ENSG00000186092,OR4F5
ENSG00000186301.8,ENSG00000186301,MST1P2
ENSG00000186306.1,ENSG00000186306,OR10T2
ENSG00000186440.2,ENSG00000186440,OR6P1
ENSG00000186501.14,ENSG00000186501,TMEM222
ENSG00000186543.7,ENSG00000186543,CROCCP5
ENSG00000186715.11,ENSG00000186715,MST1L
ENSG00000187144.11,ENSG00000187144,SPATA21
ENSG00000187170.4,ENSG00000187170,LCE4A
ENSG00000187180.3,ENSG00000187180,LCE2C
ENSG00000187238.5,ENSG00000187238,LCE3B
ENSG00000187481.2,ENSG00000187481,HSD3BP1
ENSG00000187545.5,ENSG00000187545,PRAMEF10
ENSG00000187642.9,ENSG00000187642,PERM1
ENSG00000187733.6,ENSG00000187733,AMY1C
ENSG00000187800.13,ENSG00000187800,PEAR1
ENSG00000187952.9,ENSG00000187952,HS6ST1P1
ENSG00000187980.6,ENSG00000187980,PLA2G2C
ENSG00000188060.7,ENSG00000188060,RAB42
ENSG00000188257.11,ENSG00000188257,PLA2G2A
ENSG00000188340.2,ENSG00000188340,OR6N2
ENSG00000188460.4,ENSG00000188460,ACTBP11
ENSG00000188585.9,ENSG00000188585,CLEC20A
ENSG00000188610.12,ENSG00000188610,FAM72B
ENSG00000188784.4,ENSG00000188784,PLA2G2E
ENSG00000189171.14,ENSG00000189171,S100A13
ENSG00000189280.3,ENSG00000189280,GJB5
ENSG00000194297.2,ENSG00000194297,RNU1-75P
ENSG00000196171.3,ENSG00000196171,OR6K2
ENSG00000196266.5,ENSG00000196266,OR10J3
ENSG00000196369.11,ENSG00000196369,SRGAP2B
ENSG00000196420.7,ENSG00000196420,S100A5
ENSG00000196427.13,ENSG00000196427,NBPF4
ENSG00000196550.10,ENSG00000196550,FAM72A
ENSG00000196805.7,ENSG00000196805,SPRR2B
ENSG00000196890.4,ENSG00000196890,H2BU1
ENSG00000197084.5,ENSG00000197084,LCE1C
ENSG00000197241.3,ENSG00000197241,SLC2A7
ENSG00000197364.7,ENSG00000197364,S100A7L2
ENSG00000197403.4,ENSG00000197403,OR6N1
ENSG00000197520.10,ENSG00000197520,FAM177B
ENSG00000197530.12,ENSG00000197530,MIB2
ENSG00000197532.2,ENSG00000197532,OR6Y1
ENSG00000197989.14,ENSG00000197989,SNHG12
ENSG00000198160.14,ENSG00000198160,MIER1
ENSG00000198162.12,ENSG00000198162,MAN1A2
ENSG00000198358.4,ENSG00000198358,
ENSG00000198658.4,ENSG00000198658,ABHD17AP1
ENSG00000198703.2,ENSG00000198703,OR10R3P
ENSG00000198711.5,ENSG00000198711,SSBP3-AS1
ENSG00000198744.5,ENSG00000198744,MTCO3P12
ENSG00000198754.5,ENSG00000198754,OXCT2
ENSG00000198854.5,ENSG00000198854,C1orf68
ENSG00000198857.3,ENSG00000198857,HSD3BP5
ENSG00000198952.8,ENSG00000198952,SMG5
ENSG00000198965.4,ENSG00000198965,OR10R2
ENSG00000198967.4,ENSG00000198967,OR10Z1
ENSG00000198974.3,ENSG00000198974,MIR30E
ENSG00000198976.1,ENSG00000198976,MIR429
ENSG00000199059.3,ENSG00000199059,MIR135B
ENSG00000199135.1,ENSG00000199135,MIR101-1
ENSG00000199240.1,ENSG00000199240,RNA5SP46
ENSG00000199270.1,ENSG00000199270,RNA5S12
ENSG00000199318.1,ENSG00000199318,RNA5SP52
ENSG00000199334.1,ENSG00000199334,RNA5S11
ENSG00000199337.1,ENSG00000199337,RNA5S3
ENSG00000199347.1,ENSG00000199347,RNU5E-1
ENSG00000199349.1,ENSG00000199349,
ENSG00000199352.1,ENSG00000199352,RNA5S1
ENSG00000199377.1,ENSG00000199377,RNU5F-1
ENSG00000199385.1,ENSG00000199385,RNU6-369P
ENSG00000199396.1,ENSG00000199396,RNA5S5
ENSG00000199459.1,ENSG00000199459,
ENSG00000199471.1,ENSG00000199471,
ENSG00000199562.1,ENSG00000199562,RNU6-37P
ENSG00000199565.1,ENSG00000199565,
ENSG00000199595.1,ENSG00000199595,
ENSG00000199666.2,ENSG00000199666,SNORD3G
ENSG00000199710.1,ENSG00000199710,
ENSG00000199756.1,ENSG00000199756,
ENSG00000199831.1,ENSG00000199831,RN7SKP291
ENSG00000199840.1,ENSG00000199840,
ENSG00000199849.1,ENSG00000199849,RNU5F-6P
ENSG00000199879.1,ENSG00000199879,RNVU1-22
ENSG00000199890.1,ENSG00000199890,
ENSG00000199910.1,ENSG00000199910,RNA5S10
ENSG00000199921.1,ENSG00000199921,RNU6-161P
ENSG00000199934.1,ENSG00000199934,
ENSG00000199959.1,ENSG00000199959,
ENSG00000199963.1,ENSG00000199963,RNU6-605P
ENSG00000200033.1,ENSG00000200033,RNU6-403P
ENSG00000200036.1,ENSG00000200036,RNA5SP65
ENSG00000200087.1,ENSG00000200087,SNORA73B
ENSG00000200139.1,ENSG00000200139,RNU6-778P
ENSG00000200169.1,ENSG00000200169,RNU5D-1
ENSG00000200171.1,ENSG00000200171,
ENSG00000200174.1,ENSG00000200174,
ENSG00000200175.1,ENSG00000200175,RNU6-1309P
ENSG00000200220.1,ENSG00000200220,RNU6-179P
ENSG00000200254.1,ENSG00000200254,RNU6-536P
ENSG00000200262.1,ENSG00000200262,
ENSG00000200327.1,ENSG00000200327,RNA5SP62
ENSG00000200343.1,ENSG00000200343,RNA5S8
ENSG00000200344.1,ENSG00000200344,
ENSG00000200360.1,ENSG00000200360,RNU6-792P
ENSG00000200370.1,ENSG00000200370,RNA5S17
ENSG00000200381.1,ENSG00000200381,RNA5S4
ENSG00000200403.1,ENSG00000200403,RNU6-1099P
ENSG00000200408.1,ENSG00000200408,RNA5SP74
ENSG00000200421.1,ENSG00000200421,
ENSG00000200508.1,ENSG00000200508,
ENSG00000200536.1,ENSG00000200536,
ENSG00000200547.1,ENSG00000200547,
ENSG00000200575.1,ENSG00000200575,RNU6-414P
ENSG00000200591.1,ENSG00000200591,
ENSG00000200601.1,ENSG00000200601,RNA5SP50
ENSG00000200624.1,ENSG00000200624,RNA5S6
ENSG00000200674.1,ENSG00000200674,RN7SKP160
ENSG00000200755.1,ENSG00000200755,RNA5SP68
ENSG00000200759.1,ENSG00000200759,RNU6-884P
ENSG00000200796.1,ENSG00000200796,RNU6-753P
ENSG00000200800.1,ENSG00000200800,RNU1-130P
ENSG00000200839.1,ENSG00000200839,RNA5SP48
ENSG00000200913.1,ENSG00000200913,SNORD46
ENSG00000200942.1,ENSG00000200942,RNU6-501P
ENSG00000200972.1,ENSG00000200972,RNU5A-8P
ENSG00000200975.1,ENSG00000200975,RNU1-7P
ENSG00000201003.1,ENSG00000201003,
ENSG00000201028.1,ENSG00000201028,RNU6-151P
ENSG00000201032.1,ENSG00000201032,RNU6-704P
ENSG00000201114.1,ENSG00000201114,
ENSG00000201129.1,ENSG00000201129,SNORA58B
ENSG00000201134.1,ENSG00000201134,
ENSG00000201135.1,ENSG00000201135,RNU6-777P
ENSG00000201142.1,ENSG00000201142,RNU1-151P
ENSG00000201148.1,ENSG00000201148,RNA5SP42
ENSG00000201153.1,ENSG00000201153,RNU6-371P
ENSG00000201183.1,ENSG00000201183,RNVU1-3
ENSG00000201270.1,ENSG00000201270,RNU6-755P
ENSG00000201273.1,ENSG00000201273,RNU6-776P
ENSG00000201312.1,ENSG00000201312,RNA5SP72
ENSG00000201317.1,ENSG00000201317,RNU4-59P
ENSG00000201321.1,ENSG00000201321,RNA5S9
ENSG00000201347.1,ENSG00000201347,RNA5SP69
ENSG00000201355.1,ENSG00000201355,RNA5S14
ENSG00000201405.1,ENSG00000201405,
ENSG00000201421.1,ENSG00000201421,
ENSG00000201448.1,ENSG00000201448,SNORA63C
ENSG00000201457.1,ENSG00000201457,SNORA55
ENSG00000201487.1,ENSG00000201487,SNORD45B
ENSG00000201491.1,ENSG00000201491,RNU4-75P
ENSG00000201493.1,ENSG00000201493,RNU1-141P
ENSG00000201542.1,ENSG00000201542,
ENSG00000201544.1,ENSG00000201544,SNORA16B
ENSG00000201558.1,ENSG00000201558,RNVU1-6
ENSG00000201588.1,ENSG00000201588,RNA5S2
ENSG00000201596.1,ENSG00000201596,
ENSG00000201608.1,ENSG00000201608,RNU4-42P
ENSG00000201609.1,ENSG00000201609,RNU4-28P
ENSG00000201619.1,ENSG00000201619,
ENSG00000201620.1,ENSG00000201620,RNA5SP51
ENSG00000201699.1,ENSG00000201699,RNVU1-24
ENSG00000201725.1,ENSG00000201725,RNU6-304P
ENSG00000201746.1,ENSG00000201746,RNU6-828P
ENSG00000201789.1,ENSG00000201789,RNU6-1071P
ENSG00000201791.1,ENSG00000201791,
ENSG00000201801.1,ENSG00000201801,RNU5E-4P
ENSG00000201868.1,ENSG00000201868,
ENSG00000201898.1,ENSG00000201898,
ENSG00000201900.1,ENSG00000201900,RNY1P13
ENSG00000201919.1,ENSG00000201919,RNU6-1022P
ENSG00000201925.1,ENSG00000201925,RNA5S15
ENSG00000201944.1,ENSG00000201944,
ENSG00000201987.1,ENSG00000201987,
ENSG00000202025.1,ENSG00000202025,RNU6-1240P
ENSG00000202027.1,ENSG00000202027,
ENSG00000202031.1,ENSG00000202031,SNORD38A
ENSG00000202056.1,ENSG00000202056,RNA5SP19
ENSG00000202078.1,ENSG00000202078,
ENSG00000202167.1,ENSG00000202167,RNU1-114P
ENSG00000202222.1,ENSG00000202222,
ENSG00000202254.1,ENSG00000202254,
ENSG00000202257.1,ENSG00000202257,RNA5S16
ENSG00000202259.1,ENSG00000202259,RNU6-1318P
ENSG00000202263.1,ENSG00000202263,RNA5SP22
ENSG00000202264.1,ENSG00000202264,RNA5SP77
ENSG00000202300.1,ENSG00000202300,RNU6-487P
ENSG00000202329.1,ENSG00000202329,RNU6-609P
ENSG00000202385.1,ENSG00000202385,
ENSG00000202408.2,ENSG00000202408,RNVU1-21
ENSG00000202415.1,ENSG00000202415,RN7SKP269
ENSG00000202444.1,ENSG00000202444,RNU5E-6P
ENSG00000202461.1,ENSG00000202461,
ENSG00000202491.1,ENSG00000202491,RNU6-716P
ENSG00000202498.1,ENSG00000202498,
ENSG00000202521.1,ENSG00000202521,RNA5S7
ENSG00000202526.1,ENSG00000202526,RNA5S13
ENSG00000202609.4,ENSG00000202609,MIR488
ENSG00000203307.2,ENSG00000203307,FAM78B-AS1
ENSG00000203325.3,ENSG00000203325,
ENSG00000203356.2,ENSG00000203356,LINC01562
ENSG00000203469.2,ENSG00000203469,
ENSG00000203601.3,ENSG00000203601,LINC00970
ENSG00000203605.3,ENSG00000203605,
ENSG00000203620.2,ENSG00000203620,
ENSG00000203684.5,ENSG00000203684,IBA57-DT
ENSG00000203706.8,ENSG00000203706,SERTAD4-AS1
ENSG00000203710.11,ENSG00000203710,CR1
ENSG00000203729.8,ENSG00000203729,LINC00272
ENSG00000203757.2,ENSG00000203757,OR6K3
ENSG00000203758.4,ENSG00000203758,OR10T1P
ENSG00000203761.5,ENSG00000203761,MSTO2P
ENSG00000203781.4,ENSG00000203781,S100A7P1
ENSG00000203786.6,ENSG00000203786,KPRP
ENSG00000203804.4,ENSG00000203804,ADAMTSL4-AS1
ENSG00000203811.1,ENSG00000203811,H3C14
ENSG00000203812.2,ENSG00000203812,H2AC18
ENSG00000203814.6,ENSG00000203814,H2BC18
ENSG00000203825.4,ENSG00000203825,
ENSG00000203852.3,ENSG00000203852,H3C15
ENSG00000203855.7,ENSG00000203855,HSD3BP4
ENSG00000203858.3,ENSG00000203858,HSD3BP2
ENSG00000203864.3,ENSG00000203864,LINC02868
ENSG00000203878.11,ENSG00000203878,CHIAP2
ENSG00000203914.4,ENSG00000203914,HSP90B3P
ENSG00000203963.11,ENSG00000203963,C1orf141
ENSG00000204060.7,ENSG00000204060,FOXO6
ENSG00000204362.6,ENSG00000204362,LINC02783
ENSG00000204464.7,ENSG00000204464,C1orf195
ENSG00000204478.9,ENSG00000204478,PRAMEF20
ENSG00000204479.4,ENSG00000204479,PRAMEF17
ENSG00000204480.8,ENSG00000204480,PRAMEF19
ENSG00000204501.7,ENSG00000204501,PRAMEF15
ENSG00000204505.4,ENSG00000204505,PRAMEF9
ENSG00000204510.5,ENSG00000204510,PRAMEF7
ENSG00000204518.2,ENSG00000204518,AADACL4
ENSG00000205116.3,ENSG00000205116,TMEM88B
ENSG00000205231.1,ENSG00000205231,TTLL10-AS1
ENSG00000206585.1,ENSG00000206585,RNVU1-7
ENSG00000206595.1,ENSG00000206595,RNU6-877P
ENSG00000206620.1,ENSG00000206620,SNORD45C
ENSG00000206627.1,ENSG00000206627,RNU6-969P
ENSG00000206635.1,ENSG00000206635,RNU6-1062P
ENSG00000206637.1,ENSG00000206637,SNORA70H
ENSG00000206640.1,ENSG00000206640,
ENSG00000206651.1,ENSG00000206651,
ENSG00000206652.1,ENSG00000206652,RNU1-1
ENSG00000206654.1,ENSG00000206654,RNU6-608P
ENSG00000206659.1,ENSG00000206659,
ENSG00000206679.1,ENSG00000206679,
ENSG00000206680.1,ENSG00000206680,SNORD21
ENSG00000206684.1,ENSG00000206684,RNU6-157P
ENSG00000206692.1,ENSG00000206692,
ENSG00000206700.1,ENSG00000206700,RNU6-723P
ENSG00000206704.1,ENSG00000206704,
